Artista,Genero,URL
5,gangsta rap,https://en.m.wikipedia.org/wiki/11/5
5,hip-hop,https://en.m.wikipedia.org/wiki/11/5
465,post-punk,https://en.m.wikipedia.org/wiki/Voigt/465
2562,dubstep,https://en.m.wikipedia.org/wiki/2562
2814,ambient music,https://en.m.wikipedia.org/wiki/2814
5566,C-pop,https://en.wikipedia.org/wiki/5566
81355,hip-hop,https://en.m.wikipedia.org/wiki/81355
 Lione Rhapsody,power metal,https://en.m.wikipedia.org/wiki/Turilli_/_Lione_Rhapsody
 Lione Rhapsody,symphonic metal,https://en.m.wikipedia.org/wiki/Turilli_/_Lione_Rhapsody
 The Body Haters,dark ambient,https://en.wikipedia.org/wiki/The_Body_Lovers_/_The_Body_Haters
!!!,dance-punk,https://en.wikipedia.org/wiki/!!!
!Action Pact!,punk rock,https://en.m.wikipedia.org/wiki/!Action_Pact!
¡All-Time Quarterback!,indie rock,https://en.m.wikipedia.org/wiki/¡All-Time_Quarterback!
"¡Forward, Russia!",math rock,"https://en.m.wikipedia.org/wiki/¡Forward,_Russia!"
"¡Forward, Russia!",post-punk revival,"https://en.m.wikipedia.org/wiki/¡Forward,_Russia!"
¡Mayday!,hip-hop,https://en.m.wikipedia.org/wiki/¡Mayday!
? and the Mysterians,garage rock,https://en.m.wikipedia.org/wiki/%3F_and_the_Mysterians
...And the Native Hipsters,post-punk,https://en.m.wikipedia.org/wiki/...And_the_Native_Hipsters
...And You Will Know Us by the Trail of Dead,emo,https://en.m.wikipedia.org/wiki/...And_You_Will_Know_Us_by_the_Trail_of_Dead
...And You Will Know Us by the Trail of Dead,indie rock,https://en.m.wikipedia.org/wiki/...And_You_Will_Know_Us_by_the_Trail_of_Dead
...And You Will Know Us by the Trail of Dead,post-hardcore,https://en.m.wikipedia.org/wiki/...And_You_Will_Know_Us_by_the_Trail_of_Dead
...And You Will Know Us by the Trail of Dead,progressive rock,https://en.m.wikipedia.org/wiki/...And_You_Will_Know_Us_by_the_Trail_of_Dead
.O.rang,post-rock,https://en.m.wikipedia.org/wiki/.O.rang
.rod laver,Christian hip-hop,https://en.wikipedia.org/wiki/.rod_laver
'68 (band),Christian hardcore,https://en.wikipedia.org/wiki/%2768_(band)
't Hof van Commerce,hip-hop,https://en.m.wikipedia.org/wiki/%27t_Hof_van_Commerce
'Til Tuesday,new wave,https://en.m.wikipedia.org/wiki/%27Til_Tuesday
"""Big"" Paul Williams",bluegrass,https://en.wikipedia.org/wiki/%22Big%22_Paul_Williams
"""Weird Al"" Yankovic",polka,https://en.m.wikipedia.org/wiki/%22Weird_Al%22_Yankovic
(We Are) Nexus,vocal trance,https://en.m.wikipedia.org/wiki/(We_Are)_Nexus
@onefive,J-pop,https://en.m.wikipedia.org/wiki/@onefive
&TEAM,J-pop,https://en.m.wikipedia.org/wiki/%26TEAM
+44 (band),alternative rock,https://en.m.wikipedia.org/wiki/%2B44_(band)
+44 (band),punk rock,https://en.m.wikipedia.org/wiki/%2B44_(band)
=Love,J-pop,https://en.m.wikipedia.org/wiki/%3DLove
$uicideboy$,hip-hop,https://en.m.wikipedia.org/wiki/$uicideboy$
009 Sound System,house music,https://en.m.wikipedia.org/wiki/009_Sound_System
1 Girl Nation,dance-pop,https://en.wikipedia.org/wiki/1_Girl_Nation
